query_id,method,mean_relevance_mean,mean_relevance_sd,ndcg_at_k_mean,diversity_mean,runtime_ms_mean,n
q1_co2_adsorption,LEA,0.4712606072425842,,0.996384338186988,0.0793274343013763,147.39112499999996,1
q1_co2_adsorption,ParetoCrowding,0.4682980179786682,,0.9917965249916436,0.1166205629706382,25.94179100000005,1
q1_co2_adsorption,Random,0.4653170108795166,,0.9838104318945332,0.0473726205527782,0.0675829999999821,1
q1_co2_adsorption,SemanticOnly,0.462864875793457,,0.971988658794384,0.064163289964199,0.0685830000000109,1
q1_co2_adsorption,TOPSIS,0.4726718366146087,,1.0,0.0086071966215968,0.1151249999999937,1
q1_co2_adsorption,WeightedSum,0.4726718366146087,,1.0,0.0086071966215968,0.0908339999999841,1
q2_photocatalysis,LEA,0.8607824444770813,,0.9999472812073708,0.0211358331143856,116.40766700000005,1
q2_photocatalysis,ParetoCrowding,0.8594421148300171,,0.9985074901344062,0.0201918575912714,39.88199999999998,1
q2_photocatalysis,Random,0.8541433215141296,,0.98918143904773,0.0331024415791034,0.0668329999999883,1
q2_photocatalysis,SemanticOnly,0.8529559373855591,,0.98691739621286,0.0195946581661701,0.0642079999999545,1
q2_photocatalysis,TOPSIS,0.860179603099823,,0.9990820458883874,0.0220318660140037,0.1078340000000288,1
q2_photocatalysis,WeightedSum,0.8607824444770813,,1.0,0.0211358331143856,0.0916660000001012,1
q3_lightweight_storage,LEA,0.6657832264900208,,0.9854110513967198,0.6102008819580078,120.83083399999994,1
q3_lightweight_storage,ParetoCrowding,0.6662527322769165,,0.9883741616072051,0.6083889007568359,35.17550000000003,1
q3_lightweight_storage,Random,0.6653710007667542,,0.9830837030774724,0.0167272929102182,0.0653750000001451,1
q3_lightweight_storage,SemanticOnly,0.6645897626876831,,0.9813410317954928,0.0130597474053502,0.0384170000000683,1
q3_lightweight_storage,TOPSIS,0.6613932251930237,,0.9803904987976036,0.1391605138778686,0.1024999999998943,1
q3_lightweight_storage,WeightedSum,0.6728970408439636,,1.0,0.0023870705626904,0.0835000000001251,1
q4_balanced_discovery,LEA,0.593343198299408,,1.0,0.0201918575912714,125.1953330000002,1
q4_balanced_discovery,ParetoCrowding,0.593343198299408,,0.9999037764568212,0.0201918575912714,43.65729200000001,1
q4_balanced_discovery,Random,0.5711880922317505,,0.953867395382529,0.0281984452158212,0.0568750000002893,1
q4_balanced_discovery,SemanticOnly,0.5711639523506165,,0.951039514791627,0.0193557627499103,0.1397080000000716,1
q4_balanced_discovery,TOPSIS,0.593343198299408,,1.0,0.0201918575912714,0.2342500000001024,1
q4_balanced_discovery,WeightedSum,0.593343198299408,,1.0,0.0201918575912714,0.2315840000000069,1
q5_insulating_frameworks,LEA,0.878500759601593,,0.99766318628452,0.1509557962417602,127.49762500000016,1
q5_insulating_frameworks,ParetoCrowding,0.8786234855651855,,0.9969404675057773,0.1500983536243438,26.085666000000177,1
q5_insulating_frameworks,Random,0.8591333627700806,,0.9632372689287244,0.1357708573341369,0.0687080000001394,1
q5_insulating_frameworks,SemanticOnly,0.8573349118232727,,0.9597180415941692,0.0489212162792682,0.0610829999998507,1
q5_insulating_frameworks,TOPSIS,0.8805249333381653,,0.9963523247321576,0.0734315440058708,0.1065829999999934,1
q5_insulating_frameworks,WeightedSum,0.8807624578475952,,1.0,0.0319425836205482,0.1009999999999067,1
