query_id,seed,same_top_k_ids,same_order,same_relevance,same_diversity,weighted_rel_at5,lea_no_div_rel_at5,weighted_diversity,lea_no_diversity
q1_co2_adsorption,42,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.4726718366146087,0.4726718366146087,0.0086071966215968,0.0086071966215968
q1_co2_adsorption,43,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.4726718366146087,0.4726718366146087,0.0086071966215968,0.0086071966215968
q1_co2_adsorption,44,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.4726718366146087,0.4726718366146087,0.0086071966215968,0.0086071966215968
q1_co2_adsorption,45,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.4726718366146087,0.4726718366146087,0.0086071966215968,0.0086071966215968
q1_co2_adsorption,46,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.4726718366146087,0.4726718366146087,0.0086071966215968,0.0086071966215968
q1_co2_adsorption,47,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.4726718366146087,0.4726718366146087,0.0086071966215968,0.0086071966215968
q1_co2_adsorption,48,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.4726718366146087,0.4726718366146087,0.0086071966215968,0.0086071966215968
q1_co2_adsorption,49,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.4726718366146087,0.4726718366146087,0.0086071966215968,0.0086071966215968
q1_co2_adsorption,50,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.4726718366146087,0.4726718366146087,0.0086071966215968,0.0086071966215968
q1_co2_adsorption,51,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.4726718366146087,0.4726718366146087,0.0086071966215968,0.0086071966215968
q2_photocatalysis,42,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.8607824444770813,0.8607824444770813,0.0211358331143856,0.0211358331143856
q2_photocatalysis,43,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.8607824444770813,0.8607824444770813,0.0211358331143856,0.0211358331143856
q2_photocatalysis,44,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.8607824444770813,0.8607824444770813,0.0211358331143856,0.0211358331143856
q2_photocatalysis,45,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.8607824444770813,0.8607824444770813,0.0211358331143856,0.0211358331143856
q2_photocatalysis,46,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.8607824444770813,0.8607824444770813,0.0211358331143856,0.0211358331143856
q2_photocatalysis,47,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.8607824444770813,0.8607824444770813,0.0211358331143856,0.0211358331143856
q2_photocatalysis,48,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.8607824444770813,0.8607824444770813,0.0211358331143856,0.0211358331143856
q2_photocatalysis,49,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.8607824444770813,0.8607824444770813,0.0211358331143856,0.0211358331143856
q2_photocatalysis,50,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.8607824444770813,0.8607824444770813,0.0211358331143856,0.0211358331143856
q2_photocatalysis,51,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.8607824444770813,0.8607824444770813,0.0211358331143856,0.0211358331143856
q3_lightweight_storage,42,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.6728970408439636,0.6728970408439636,0.0023870705626904,0.0023870705626904
q3_lightweight_storage,43,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.6728970408439636,0.6728970408439636,0.0023870705626904,0.0023870705626904
q3_lightweight_storage,44,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.6728970408439636,0.6728970408439636,0.0023870705626904,0.0023870705626904
q3_lightweight_storage,45,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.6728970408439636,0.6728970408439636,0.0023870705626904,0.0023870705626904
q3_lightweight_storage,46,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.6728970408439636,0.6728970408439636,0.0023870705626904,0.0023870705626904
q3_lightweight_storage,47,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.6728970408439636,0.6728970408439636,0.0023870705626904,0.0023870705626904
q3_lightweight_storage,48,not available in saved metrics CSV,not available in saved metrics CSV,True,True,0.6728970408439636,0.6728970408439636,0.0023870705626904,0.0023870705626904
