seed,query_id,query,method,candidate_pool_size,runtime_ms,rel_at_5,best_relevance,balance,diversity,unique_at_5,hypervolume_proxy,ndcg_at_5,mean_semantic_score,mean_band_gap_score,mean_density_score,mean_porosity_score,mean_stability_score,missing_band_gap_top5
42,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,SemanticOnly,100,0.035499999995636244,0.7228393827283938,0.7598756790987566,0.8876850906270629,0.028188043115413085,1.0,0.007987167652859683,0.9263328647457447,0.7166666666666667,0.8,0.7,0.0,0.7,0
42,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,WeightedSum,100,0.04737499999407646,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.016303138590087134,1.0,0.006070295668715966,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0
42,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,TOPSIS,100,1.0217079999961243,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.016303138590087134,1.0,0.006070295668715966,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0
42,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,ParetoCrowding,100,208.08649999999318,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.0299434020610946,1.0,0.011149098858093667,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0
42,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,Random,100,0.050375000000713044,0.7413575309135754,0.7598756790987566,0.8800027392883457,0.016018768819630252,1.0,0.005237154991074834,0.9742544410759556,0.7166666666666667,0.9,0.7,0.0,0.7,0
42,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,MMR,100,2148.1415000000084,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.031194135291421093,1.0,0.011614795721848876,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0
42,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,100,86.23937500000523,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.0301478749318298,1.0,0.011225232099232187,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0
42,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA no diversity,100,82.98662500000376,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.0301478749318298,1.0,0.011225232099232187,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0
42,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA no self-cleaning,100,85.14004200000613,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.0301478749318298,1.0,0.011225232099232187,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0
42,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,GraphSAGE only,100,0.03762500000448199,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.02215122166896756,1.0,0.00824776555820117,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0
