query_id,query,method,runtime_ms,mean_relevance,best_relevance,balance,diversity,hypervolume_proxy,ndcg_at_k,mean_semantic_score,mean_band_gap_score,mean_density_score,mean_porosity_score,mean_stability_score
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,SemanticOnly,0.06858300000001094,0.46286487579345703,0.4651694893836975,0.0,0.06416328996419907,2.2449508918498395e-10,0.9719886587943841,0.44999998807907104,0.9813195466995239,0.5990620851516724,0.0,0.8500000238418579
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,WeightedSum,0.0908339999999841,0.47267183661460876,0.4744685888290405,0.0,0.008607196621596813,2.5033813910724234e-10,1.0,0.44999998807907104,1.0,0.6544787883758545,0.0,0.8500000238418579
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,TOPSIS,0.1151249999999937,0.47267183661460876,0.4744685888290405,0.0,0.008607196621596813,2.5033813910724234e-10,1.0,0.44999998807907104,1.0,0.6544787883758545,0.0,0.8500000238418579
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,ParetoCrowding,25.94179100000005,0.4682980179786682,0.4744685888290405,0.0,0.11662056297063828,2.339824167751914e-10,0.9917965249916435,0.44999998807907104,0.9076008796691895,0.6745994687080383,0.0,0.8500000238418579
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,Random,0.06758299999998219,0.4653170108795166,0.471578449010849,0.0,0.047372620552778244,2.314609892639652e-10,0.9838104318945331,0.44999998807907104,0.9957898855209351,0.6076920032501221,0.0,0.8500000238418579
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,147.39112499999996,0.47126060724258423,0.4744685888290405,0.0,0.07932743430137634,2.447448077536052e-10,0.9963843381869881,0.44999998807907104,0.9709603190422058,0.6605581045150757,0.0,0.8500000238418579
q2_photocatalysis,semiconducting MOFs for photocatalysis with suitable band gap,SemanticOnly,0.06420799999995452,0.8529559373855591,0.8539198040962219,0.0,0.01959465816617012,5.892198950974148e-10,0.9869173962128599,1.0,1.0,0.6931999325752258,0.0,0.8500000238418579
q2_photocatalysis,semiconducting MOFs for photocatalysis with suitable band gap,WeightedSum,0.09166600000010128,0.8607824444770813,0.8617095351219177,0.0,0.021135833114385605,6.784744432941636e-10,1.0,1.0,0.9983774423599243,0.7995497584342957,0.0,0.8500000238418579
q2_photocatalysis,semiconducting MOFs for photocatalysis with suitable band gap,TOPSIS,0.10783400000002885,0.860179603099823,0.8617095351219177,0.0,0.022031866014003754,6.828812515458083e-10,0.9990820458883874,1.0,0.9955061674118042,0.8070886731147766,0.0,0.8500000238418579
q2_photocatalysis,semiconducting MOFs for photocatalysis with suitable band gap,ParetoCrowding,39.88199999999998,0.8594421148300171,0.8617095351219177,0.0,0.0201918575912714,6.846659905690444e-10,0.9985074901344062,1.0,0.9929555654525757,0.8112602233886719,0.0,0.8500000238418579
q2_photocatalysis,semiconducting MOFs for photocatalysis with suitable band gap,Random,0.06683299999998837,0.8541433215141296,0.8564953207969666,0.0,0.03310244157910347,6.018353593262304e-10,0.9891814390477301,1.0,1.0,0.7080416679382324,0.0,0.8500000238418579
